question,difficulty
List all actors' first and last names.,Easy
Show the titles of all films in the database.,Easy
Get the names of all cities.,Easy
List all categories available for films.,Easy
Show the first name and last name of all customers.,Easy
Show all films released in 2006.,Easy
"Find all actors with the last name ""Smith.""",Easy
"List all customers who are from the city of ""New York.""",Easy
"Get all stores located in the country ""India.""",Easy
Show all films with a rental rate greater than $2.99.,Easy
How many films are there in each category?,Medium
What is the total number of actors?,Medium
Get the total payment received in June 2022.,Medium
Find the total number of rentals made last month.,Medium
"How many films have a rating of ""PG-13""?",Medium
List all films along with their category names.,Medium
"Show all actors who appeared in the film ""Inception.""",Medium
Get a list of all customers and the films they have rented.,Medium
List all staff members along with the stores they work at.,Medium
"Find all films rented by customer ""John Doe.""",Medium
Show the top 5 films rented the most across all stores.,Medium
List all customers who have rented films in both store 1 and store 2.,Medium
Find all actors who have appeared in more than 10 films.,Medium
Get a list of customers who have made more than 5 payments.,Medium
"List all films that are in both the ""Action"" and ""Comedy"" categories.",Medium
Show all rentals made in the last 7 days.,Medium
Get all payments made in February 2022.,Medium
List all films that have not been rented in the last 30 days.,Medium
Find all customers who registered in the last 6 months.,Medium
"Show all staff members hired before January 1, 2020.",Medium
List the top 3 customers who have spent the most in each country.,Hard
Find the films that have been rented more times than the average number of rentals per film.,Hard
"For each actor, show their name and the percentage of films they've acted in compared to the total films.",Hard
Show the average payment amount for each customer.,Hard
List all actors who have appeared in at least one film in each category.,Hard
Find customers who have rented more films this year than last year.,Hard
List the top 5 films with the highest revenue.,Hard
"For each customer, show the number of films rented in the last month compared to the previous month.",Hard
"Show the names of customers who have rented every film in the ""Action"" category.",Hard
List customers who have rented the same film more than 3 times.,Hard
